ID	Chr	Strand	SS1_pos	SS2_pos	SS3_pos	Tissue1	Tissue2	Label	TrASPr_pred
wWUf8C8SQzA	8	+	47713641	47727199	47727195	TISS14	TISS11	0.001913445334998078	0.0022872277
wWUf8C8SQzA	8	+	47713641	47727199	47727195	TISS11	TISS00	0.0016895081788496696	0.002491968
2UyCk7kPVVQ	8	-	143614786	143614697	143614671	TISS02	TISS03	0.9983815969402693	0.9912209
2UyCk7kPVVQ	8	-	143614786	143614697	143614671	TISS14	TISS07	0.9981301043208155	0.99040353
2UyCk7kPVVQ	8	-	143614786	143614697	143614671	TISS14	TISS02	0.9981301043208155	0.99135584
2UyCk7kPVVQ	8	-	143614786	143614697	143614671	TISS07	TISS11	0.99808835485063	0.99040353
2UyCk7kPVVQ	8	-	143614786	143614697	143614671	TISS07	TISS02	0.99808835485063	0.99135584
hxQUiZ4pOTQ	14	-	20802796	20802331	20802319	TISS07	TISS11	0.5738960265464137	0.16532342
hxQUiZ4pOTQ	14	-	20802796	20802331	20802319	TISS11	TISS07	0.43679910285165013	0.16532342
hxQUiZ4pOTQ	14	-	20802796	20802331	20802319	TISS07	TISS02	0.5738960265464137	0.16171701
hxQUiZ4pOTQ	14	-	20802796	20802331	20802319	TISS02	TISS07	0.43028507960014806	0.30860683
hxQUiZ4pOTQ	14	-	20802796	20802331	20802319	TISS11	TISS02	0.43679910285165013	0.16171701
hxQUiZ4pOTQ	14	-	20802796	20802331	20802319	TISS02	TISS11	0.43028507960014806	0.30860683
F8Q0SwGLRBM	8	-	81686251	81685963	81685832	TISS14	TISS00	0.9983566242445945	0.7350715
i8dtp3WsRsY	14	+	55679685	55680685	55680664	TISS03	TISS14	0.001813779330705587	0.042802144
i8dtp3WsRsY	14	+	55679685	55680685	55680664	TISS11	TISS07	0.001055824340481786	0.012007351
pE0o8Lpw_yA	14	+	99972057	100084686	100084830	TISS02	TISS07	0.9981602648083084	0.99158704
WKIt8ZThtRQ	8	-	38457355	38429948	38430002	TISS02	TISS03	0.0013087042468179996	0.07290027
LO5Devp54mU	8	-	61651049	61646878	61646807	TISS03	TISS02	0.9988778175006554	0.9785903
LO5Devp54mU	8	-	61651049	61646878	61646807	TISS03	TISS00	0.9988778175006554	0.9798227
LO5Devp54mU	8	-	61651049	61646878	61646807	TISS11	TISS07	0.9984959066635525	0.9554855
