ID	Chr	Strand	SS1_pos	SS2_pos	SS3_pos	Tissue1	Tissue2	Label	TrASPr_pred
BIQZDzkKm-U	8	-	143937663	143937748	143937242	TISS03	TISS11	0.0015442627436075748	0.0008167381
2UyCk7kPVVQ	8	-	143614646	143614623	143614453	TISS11	TISS14	0.998783990397355	0.8631611
2UyCk7kPVVQ	8	-	143614646	143614623	143614453	TISS11	TISS00	0.998783990397355	0.88875884
Rc63VXHpTck	14	-	34608037	34608029	34605717	TISS07	TISS02	0.9985146575101225	0.38421875
9NcdXiy34Hw	8	-	143593892	143593874	143586849	TISS02	TISS03	0.9984975051827216	0.019160708
9NcdXiy34Hw	8	-	143593892	143593874	143586849	TISS03	TISS00	0.9982080356860785	0.05051767
9NcdXiy34Hw	8	-	143593892	143593874	143586849	TISS14	TISS07	0.9987492420715516	0.015014749
9NcdXiy34Hw	8	-	143593892	143593874	143586849	TISS00	TISS14	0.9986144221577097	0.03711691
0PWfPfx75yo	14	+	58366068	58366230	58366882	TISS02	TISS03	0.998141904850666	0.8349459
0PWfPfx75yo	14	+	58366068	58366230	58366882	TISS11	TISS07	0.9981460729513053	0.767167
i8dtp3WsRsY	14	+	55680718	55680741	55684098	TISS03	TISS02	0.9986664936026086	0.9882676
asq_tIrzscw	14	+	57274723	57274889	57280194	TISS03	TISS02	0.9982761282977651	0.9429286
5B2UqZbq-PM	8	-	143593874	143593892	143586852	TISS03	TISS07	0.0017635939581016433	0.043609526
_UrkSVUAT2c	14	-	65077343	65077327	65076663	TISS03	TISS14	0.6172897636312271	0.003649987
_UrkSVUAT2c	14	-	65077343	65077327	65076663	TISS14	TISS03	0.5085998578535892	0.001882186
_UrkSVUAT2c	14	-	65077343	65077327	65076663	TISS03	TISS07	0.6172897636312271	0.003649987
_UrkSVUAT2c	14	-	65077343	65077327	65076663	TISS07	TISS03	0.1485100735915068	0.001882186
_UrkSVUAT2c	14	-	65077343	65077327	65076663	TISS03	TISS11	0.6172897636312271	0.003649987
_UrkSVUAT2c	14	-	65077343	65077327	65076663	TISS11	TISS03	0.5672452830188679	0.001882186
_UrkSVUAT2c	14	-	65077343	65077327	65076663	TISS03	TISS02	0.6172897636312271	0.021822825
_UrkSVUAT2c	14	-	65077343	65077327	65076663	TISS02	TISS03	0.4117344312918168	0.03197956
_UrkSVUAT2c	14	-	65077343	65077327	65076663	TISS03	TISS00	0.6172897636312271	0.023734685
_UrkSVUAT2c	14	-	65077343	65077327	65076663	TISS00	TISS03	0.34449645900852244	0.016529556
_UrkSVUAT2c	14	-	65077343	65077327	65076663	TISS14	TISS07	0.5085998578535892	0.0034970103
_UrkSVUAT2c	14	-	65077343	65077327	65076663	TISS07	TISS14	0.1485100735915068	0.0034970103
_UrkSVUAT2c	14	-	65077343	65077327	65076663	TISS14	TISS11	0.5085998578535892	0.0034970103
_UrkSVUAT2c	14	-	65077343	65077327	65076663	TISS11	TISS14	0.5672452830188679	0.0034970103
_UrkSVUAT2c	14	-	65077343	65077327	65076663	TISS14	TISS02	0.5085998578535892	0.0017961492
_UrkSVUAT2c	14	-	65077343	65077327	65076663	TISS02	TISS14	0.4117344312918168	0.004810983
_UrkSVUAT2c	14	-	65077343	65077327	65076663	TISS14	TISS00	0.5085998578535892	0.0016743992
_UrkSVUAT2c	14	-	65077343	65077327	65076663	TISS00	TISS14	0.34449645900852244	0.002332234
_UrkSVUAT2c	14	-	65077343	65077327	65076663	TISS07	TISS11	0.1485100735915068	0.0034970103
_UrkSVUAT2c	14	-	65077343	65077327	65076663	TISS11	TISS07	0.5672452830188679	0.0034970103
_UrkSVUAT2c	14	-	65077343	65077327	65076663	TISS07	TISS02	0.1485100735915068	0.0017961492
_UrkSVUAT2c	14	-	65077343	65077327	65076663	TISS02	TISS07	0.4117344312918168	0.004810983
_UrkSVUAT2c	14	-	65077343	65077327	65076663	TISS07	TISS00	0.1485100735915068	0.0016743992
_UrkSVUAT2c	14	-	65077343	65077327	65076663	TISS00	TISS07	0.34449645900852244	0.002332234
_UrkSVUAT2c	14	-	65077343	65077327	65076663	TISS11	TISS02	0.5672452830188679	0.0017961492
_UrkSVUAT2c	14	-	65077343	65077327	65076663	TISS02	TISS11	0.4117344312918168	0.004810983
_UrkSVUAT2c	14	-	65077343	65077327	65076663	TISS11	TISS00	0.5672452830188679	0.0016743992
_UrkSVUAT2c	14	-	65077343	65077327	65076663	TISS00	TISS11	0.34449645900852244	0.002332234
_UrkSVUAT2c	14	-	65077343	65077327	65076663	TISS02	TISS00	0.4117344312918168	0.03044435
_UrkSVUAT2c	14	-	65077343	65077327	65076663	TISS00	TISS02	0.34449645900852244	0.013376604
5D-JN5mjiEs	8	+	97719087	97719189	97722878	TISS03	TISS11	0.9986581657661157	0.9979572
VTsf_NUQhXY	14	+	94581638	94581710	94587345	TISS07	TISS11	0.8635294607363623	0.007232764
VTsf_NUQhXY	14	+	94581638	94581710	94587345	TISS11	TISS07	0.7864424057084608	0.007232764
VTsf_NUQhXY	14	+	94581638	94581710	94587345	TISS07	TISS02	0.8635294607363623	0.003839395
VTsf_NUQhXY	14	+	94581638	94581710	94587345	TISS02	TISS07	0.8446113903772856	0.002296159
VTsf_NUQhXY	14	+	94581638	94581710	94587345	TISS11	TISS02	0.7864424057084608	0.003839395
VTsf_NUQhXY	14	+	94581638	94581710	94587345	TISS02	TISS11	0.8446113903772856	0.002296159
jkDF8vFo6k8	8	+	28107964	28107976	28110369	TISS03	TISS02	0.9984463169785729	0.9985104
