ID	Chr	Strand	Exon_start	Exon_end	Tissue	Change_case	Label	TrASPr_pred	Pangolin_pred	SpliceAI_pred	SpliceTF_pred
vbBs-9Pl7nQ	chr3	-	33577202	33577264	Heart_Atrial_Appendage	True	0.01105123201520682	0.20866227	0.006584561	0.023704857	0.5783378630876541
vbBs-9Pl7nQ	chr3	-	33577202	33577264	Brain_Cerebellum	True	0.5455708532944543	0.8984106	0.007967301	0.023704857	0.5285581201314926
R0JePO6rOVA	chr5	+	14489030	14489069	Liver	False	0.1567831938139041	0.06325052	0.015743624	0.24425359	0.12878772243857384
R0JePO6rOVA	chr5	+	14489030	14489069	Brain_Cerebellum	False	0.028207214632706305	0.6090592	0.017516134	0.24425359	0.22489647567272186
R0JePO6rOVA	chr5	+	14489030	14489069	Heart_Atrial_Appendage	False	0.06942271478549074	0.2860695	0.011703585	0.24425359	0.2732163146138191
BXoYu3CCW7k	chr7	-	51187914	51187958	Brain_Cerebellum	True	0.010918035233641848	0.61080176	0.026914934	0.08486414	0.2917632721364498
BXoYu3CCW7k	chr7	-	51187914	51187958	Heart_Atrial_Appendage	True	0.3780613454324242	0.80730873	0.025437588	0.08486414	0.5674242973327637
1E2zQLCoMeQ	chr7	-	107936279	107936373	Brain_Cerebellum	True	0.41320330265650906	0.3485343	0.0013658925	0.13933592	0.07604733668267727
1E2zQLCoMeQ	chr7	-	107936279	107936373	Heart_Atrial_Appendage	True	0.004126857568487399	0.032774985	0.00095467706	0.13933592	0.07383476756513119
zG1KRHACUd0	chr1	+	41007449	41007545	Brain_Cerebellum	True	0.6841245538513185	0.5904841	0.61647516	0.48126373	0.9038183689117432
zG1KRHACUd0	chr1	+	41007449	41007545	Heart_Atrial_Appendage	True	0.885637220978408	0.79246426	0.6838925	0.48126373	0.9795234203338623
zG1KRHACUd0	chr1	+	41007449	41007545	Liver	True	0.8469015664475104	0.86396646	0.69574165	0.48126373	0.8901495635509491
ULZRlTOzDwI	chr1	+	43432062	43432180	Brain_Cerebellum	False	0.023270698120943626	0.027742893	0.0008651294	0.20389953	0.2181089147925377
PXf-c-aTKpg	chr7	-	1443577	1443724	Brain_Cerebellum	True	0.40699113732674286	0.4081588	0.021423468	0.14137395	0.18559381924569607
PXf-c-aTKpg	chr7	-	1443577	1443724	Liver	True	0.009291714501809531	0.012100386	0.008716019	0.14137395	0.13084719888865948
PXf-c-aTKpg	chr7	-	1443577	1443724	Heart_Atrial_Appendage	True	0.04504891752122772	0.03321117	0.0062015364	0.14137395	0.2342359609901905
X8VomUJclEI	chr3	-	49025995	49026066	Heart_Atrial_Appendage	True	0.1842290243213528	0.66617113	0.67535985	0.7724864	0.9060468375682831
X8VomUJclEI	chr3	-	49025995	49026066	Liver	True	0.01664877216055463	0.4330821	0.43079925	0.7724864	0.6288556754589081
2TdyOSZZbeM	chr5	-	36208625	36208690	Brain_Cerebellum	True	0.036933652419839674	0.40045622	0.1706306	0.1489613	0.6514296233654022
2TdyOSZZbeM	chr5	-	36208625	36208690	Liver	True	0.33788471411946797	0.0751764	0.17442794	0.1489613	0.5378219336271286
2TdyOSZZbeM	chr5	-	36208625	36208690	Heart_Atrial_Appendage	True	0.5834933791517527	0.4065085	0.22034177	0.1489613	0.8942881524562836
Tvwcgh2ou-Q	chr3	-	38131596	38131638	Brain_Cerebellum	True	0.30082949170912504	0.71383077	0.60781205	0.77087164	0.8148628771305084
Tvwcgh2ou-Q	chr3	-	38131596	38131638	Liver	True	0.8972589520676935	0.8763172	0.7754314	0.77087164	0.7652202546596527
Tvwcgh2ou-Q	chr3	-	38131596	38131638	Heart_Atrial_Appendage	True	0.8631132573455708	0.8908652	0.67742795	0.77087164	0.9719001948833466
MeuhIl_YCOM	chr3	+	100311833	100311877	Heart_Atrial_Appendage	False	0.9827705125581047	0.7050748	0.4807883	0.5091733	0.948984682559967
MeuhIl_YCOM	chr3	+	100311833	100311877	Brain_Cerebellum	False	0.9547454302209026	0.9395816	0.528371	0.5091733	0.4411744475364685
9-RQeMEAV4o	chr3	-	25732319	25732483	Heart_Atrial_Appendage	False	0.9645170177005042	0.9022657	0.5387309	0.18636274	0.9691734313964844
9-RQeMEAV4o	chr3	-	25732319	25732483	Brain_Cerebellum	False	0.9927366207791624	0.7581527	0.6757799	0.18636274	0.7711184620857239
9-RQeMEAV4o	chr3	-	25732319	25732483	Liver	False	0.9443503643146405	0.928668	0.5012627	0.18636274	0.7675234973430634
X2W5mJzRPvQ	chr9	-	129013008	129013019	Brain_Cerebellum	True	0.8302512641562358	0.9503189	0.5621074	0.94986916	0.6180792450904846
X2W5mJzRPvQ	chr9	-	129013008	129013019	Heart_Atrial_Appendage	True	0.00513423675666499	0.06430005	0.2911722	0.94986916	0.9468278288841248
X2W5mJzRPvQ	chr9	-	129013008	129013019	Liver	True	0.00895285366157881	0.01798621	0.087880835	0.94986916	0.3018193244934082
LSRybSzkM74	chr3	-	65387143	65387226	Brain_Cerebellum	True	0.9579547991227642	0.24744146	0.6092535	0.1724145	0.609874814748764
LSRybSzkM74	chr3	-	65387143	65387226	Heart_Atrial_Appendage	True	0.050209497905020946	0.38006842	0.20694384	0.1724145	0.7755474150180817
fay2wQNOMzU	chr5	-	74730260	74730398	Brain_Cerebellum	True	0.6032689102010429	0.89274967	0.8755554	0.86657274	0.7943926155567169
fay2wQNOMzU	chr5	-	74730260	74730398	Heart_Atrial_Appendage	True	0.9208862447624155	0.9180404	0.8857373	0.86657274	0.979022204875946
fay2wQNOMzU	chr5	-	74730260	74730398	Liver	True	0.9118262518568023	0.9227612	0.8300128	0.86657274	0.7258422672748566
486UmAO24lM	chr7	+	100104874	100104940	Brain_Cerebellum	True	0.7668094329028636	0.9341553	0.8694466	0.98211396	0.917324423789978
486UmAO24lM	chr7	+	100104874	100104940	Heart_Atrial_Appendage	True	0.9773122621493058	0.9762654	0.8814229	0.98211396	0.957300066947937
kv6pwfRTaUM	chr9	-	128267194	128267274	Heart_Atrial_Appendage	True	0.609567525173232	0.8326453	0.7444489	0.99383104	0.8557713329792023
kv6pwfRTaUM	chr9	-	128267194	128267274	Liver	True	0.8120192264506316	0.83359575	0.67072135	0.99383104	0.7903223037719727
kv6pwfRTaUM	chr9	-	128267194	128267274	Brain_Cerebellum	True	0.6261408465961922	0.9696707	0.79127455	0.99383104	0.8514086604118347
pfUcAUz2lc0	chr3	-	119435755	119435935	Liver	False	0.17198971210856961	0.05291181	0.025362423	0.1244124	0.23894739896059036
pfUcAUz2lc0	chr3	-	119435755	119435935	Heart_Atrial_Appendage	False	0.06762240551564941	0.4431184	0.023487765	0.1244124	0.5629232823848724
a2vbw0ItRpU	chr3	+	50110379	50110463	Heart_Atrial_Appendage	True	0.8134205551800675	0.91964257	0.8606833	0.37002236	0.8916237354278564
a2vbw0ItRpU	chr3	+	50110379	50110463	Brain_Cerebellum	True	0.641212024620574	0.7942254	0.8378312	0.37002236	0.8660567700862885
a2vbw0ItRpU	chr3	+	50110379	50110463	Liver	True	0.9101217228108516	0.84363765	0.8242488	0.37002236	0.8326397836208344
FlPn9x0F07Y	chr3	-	183092409	183092545	Heart_Atrial_Appendage	True	0.8830877465791938	0.9333094	0.9128647	0.8638283	0.9735589623451233
FlPn9x0F07Y	chr3	-	183092409	183092545	Brain_Cerebellum	True	0.4771586863476508	0.9400236	0.90722287	0.8638283	0.8895993828773499
FlPn9x0F07Y	chr3	-	183092409	183092545	Liver	True	0.9273254211338495	0.9433476	0.89211065	0.8638283	0.8611202538013458
Y3SGibp3TQQ	chr1	-	31679804	31679851	Brain_Cerebellum	True	0.7743	0.52077055	0.20091291	0.47450322	0.5624275803565979
Y3SGibp3TQQ	chr1	-	31679804	31679851	Heart_Atrial_Appendage	True	0.25534999999999997	0.6843695	0.087617636	0.47450322	0.5759551674127579
T-MRnPQKQMM	chr5	-	177459603	177459740	Brain_Cerebellum	True	0.25831478780413686	0.7709825	0.59132385	0.7721684	0.8496600091457367
T-MRnPQKQMM	chr5	-	177459603	177459740	Heart_Atrial_Appendage	True	0.02367891994155768	0.123365626	0.44697005	0.7721684	0.9606365263462067
DIoa1sMTCQg	chr7	-	106096293	106096302	Brain_Cerebellum	False	0.22260065802197976	0.9432431	0.28451738	0.35635012	0.49702657759189606
oCyWRT8O0A4	chr3	+	9932820	9932858	Liver	True	0.6691711540259726	0.95013416	0.55099565	0.85108346	0.7296095192432404
oCyWRT8O0A4	chr3	+	9932820	9932858	Brain_Cerebellum	True	0.35823390782968256	0.95013416	0.46457162	0.85108346	0.7902378439903259
oCyWRT8O0A4	chr3	+	9932820	9932858	Heart_Atrial_Appendage	True	0.38371576968358967	0.94966936	0.55172527	0.85108346	0.935600996017456
bW7aE83LhHE	chr1	-	20892619	20892729	Brain_Cerebellum	False	0.09424543695436954	0.8524448	0.7579073	0.90326726	0.8480987548828125
bW7aE83LhHE	chr1	-	20892619	20892729	Liver	False	0.17845	0.938576	0.7262687	0.90326726	0.799912691116333
_UOBBahf4Jc	chr1	-	155261657	155261734	Liver	False	0.8954064691113219	0.91102153	0.90808856	0.9919375	0.9460733532905579
_UOBBahf4Jc	chr1	-	155261657	155261734	Brain_Cerebellum	False	0.913841975853737	0.7296161	0.8917874	0.9919375	0.9610589444637299
_UOBBahf4Jc	chr1	-	155261657	155261734	Heart_Atrial_Appendage	False	0.7710035517812361	0.8217605	0.9147935	0.9919375	0.968937873840332
qbisXZ9mTvo	chr5	+	123605339	123605362	Brain_Cerebellum	True	0.980608084676909	0.84286314	0.33150297	0.75796413	0.4973852336406708
qbisXZ9mTvo	chr5	+	123605339	123605362	Heart_Atrial_Appendage	True	0.8752467908902692	0.5621164	0.15358527	0.75796413	0.6339944303035736
qbisXZ9mTvo	chr5	+	123605339	123605362	Liver	True	0.10585591838853702	0.14878777	0.018598903	0.75796413	0.24622166901826859
O65n_IFM9bU	chr3	-	62544848	62544859	Brain_Cerebellum	True	0.589736040609137	0.28180072	0.031040039	0.004643551	0.08759257290512323
