Index	Change_case	Label	TrASPr_pred	SpliceAI_pred
WT	False	0.8838371132888267	0.8801769	0.91125375
430	False	0.9446605655530029	0.87438196	0.88077086
1146	False	0.7727932458399771	0.86396646	0.86106384
85	False	0.8414239482200647	0.8743051	0.9273281
4366	False	0.8771953398713962	0.8595402	0.9300375
4895	False	0.917117294698687	0.87589836	0.9174283
789	False	0.8533438718409729	0.89126694	0.9249428
4339	False	0.8326238781262754	0.8513978	0.6500329
2103	False	0.8207528386232779	0.85508233	0.922155
4554	False	0.9371048757877254	0.9297744	0.9386746
693	False	0.9502423156443831	0.9550062	0.9676129
5857	False	0.8516491990054449	0.83518016	0.92618006
3280	False	0.8688115879672443	0.873532	0.9728327
5593	True	0.19843924191750278	0.44408563	0.77976716
1786	False	0.8932770798967982	0.84998584	0.9325029
2622	True	0.5632805053029576	0.6099359	0.8161338
5391	True	0.10721600695144848	0.11828369	0.8758606
909	True	0.39194139194139194	0.61905646	0.80753154
3959	False	0.740931255541158	0.8048565	0.7279817
573	False	0.8610459775307973	0.89171547	0.89131343
5108	False	0.9325443611493716	0.9264008	0.98890114
2600	False	0.9454612398532001	0.9068755	0.951507
2493	False	0.8666666666666667	0.9043591	0.633354
1371	False	0.9655990377578184	0.9566144	0.994767
5933	True	0.04126547455295736	0.033297777	8.509074e-06
3199	False	0.9244649321830971	0.92489874	0.9348013
1090	False	0.9609408047295058	0.91563785	0.97455883
3929	False	0.8853151781686964	0.91517794	0.9408492
882	False	0.8744546519423305	0.84779793	0.94271195
551	False	0.7761452997734484	0.76802367	0.7973968
641	True	0.6643780241330564	0.737967	0.9135768
3156	False	0.8567871765989021	0.77523905	0.570368
3912	False	0.8402259925858397	0.88904643	0.87401736
5263	False	0.9340033860615555	0.9241739	0.8266325
5699	False	0.8438746395042032	0.85389525	0.8760292
4314	False	0.9186602870813397	0.86804354	0.8900013
2277	False	0.961906496750881	0.9335849	0.8406407
1565	False	0.9655172413793104	0.9283242	0.83534276
5668	False	0.8219704498774266	0.8319912	0.88360137
1720	False	0.8403098214835035	0.8674984	0.9465607
3157	False	0.914754782734962	0.8869013	0.87275326
2584	False	0.9465811965811965	0.9569864	0.97459185
4535	True	0.043879731379731376	0.2561996	0.2288611
2074	True	0.6785893373919782	0.79016244	0.9159212
898	False	0.9403159723572809	0.89933705	0.97288907
816	True	0.5307883341823739	0.6959805	0.8163503
1549	True	0.04981256850581829	0.032170434	0.8459614
2313	False	0.8502355460385439	0.8693623	0.8691877
416	False	0.9285714285714286	0.89598197	0.81585693
1129	False	0.8489568969919821	0.8597303	0.93178016
3120	False	0.8631026244472971	0.8674796	0.87931645
5671	False	0.9226117016679629	0.90882957	0.95092106
2480	False	0.7614125984886109	0.8457106	0.7667851
110	False	0.9278802049620063	0.8778981	0.98998374
5156	False	0.9298276509814971	0.88664156	0.92919654
2832	False	0.9298282362798491	0.8531122	0.9108589
997	False	0.7349852071005917	0.85526985	0.89031523
4614	True	0.7192156396441354	0.84356874	0.8571681
5763	False	0.8543692781955712	0.8851681	0.9202797
550	False	0.9020584927849742	0.8987713	0.8291853
306	False	0.8602229113539871	0.9113371	0.89508027
2299	True	0.03319131891340762	0.040043913	0.8285241
1857	False	0.927017535722217	0.86802953	0.9324298
219	False	0.9018544429906867	0.9027401	0.93805045
5246	False	0.7671554252199414	0.85697526	0.86600053
188	False	0.8658723562339045	0.8275514	0.9507996
1890	True	0.5	0.473228	0.7999717
410	False	0.8889227903391572	0.88943326	0.86613476
3377	False	0.938562305139294	0.7700691	0.9493414
2037	True	0.19310449344548003	0.179806	0.82719433
5626	False	0.7758595725786213	0.882049	0.9095637
2823	False	0.9475263138250224	0.91992265	0.9524409
5968	False	0.906930693069307	0.8837351	0.7992574
4772	False	0.859918817556049	0.9194206	0.87632483
2650	False	0.9437612234684565	0.93186027	0.8920909
715	False	0.9668213549103601	0.9725936	0.97762215
1556	False	0.9403619528619529	0.93627065	0.9123688
3114	False	0.8669928555922153	0.86046994	0.8490696
400	False	0.9055793991416309	0.898225	0.84768647
3021	False	0.8632773950088697	0.893192	0.9029708
1848	True	0.7337039220907673	0.7964534	0.92200977
4539	False	0.7958670260557053	0.832745	0.8973222
3345	False	0.8051640584385746	0.8522706	0.81530523
1775	False	0.8266629809464289	0.8569754	0.9080578
107	False	0.7419917147900352	0.80621725	0.92546856
3398	False	0.8721165586550201	0.8736681	0.87330735
